species,code
Chamaecrista_punctulifera,000100000
Chamaecrista_ramosa,010100000
Chamaecrista_repens,111010000
Chamaecrista_roncadorensis,010000000
Chamaecrista_roraimae,101000000
Chamaecrista_rossicorum,000100000
Chamaecrista_rotundata,000100000
Chamaecrista_rotundifolia,111111001
Chamaecrista_rufa,111111001
Chamaecrista_rupertiana,000100000
Chamaecrista_rupestrium,000100000
Chamaecrista_salvatoris,000010000
Chamaecrista_secunda,000100000
Chamaecrista_scabra,010100000
Chamaecrista_scleroxylon,100000000
Chamaecrista_serpens,111011001
Chamaecrista_simplifacta,000100000
Chamaecrista_sincorana,000100000
Chamaecrista_sophoroides,010100000
Chamaecrista_souzana,010100000
Chamaecrista_sparsifolia,010000000
Chamaecrista_speciosa,000100000
Chamaecrista_spodiotricha,000100000
Chamaecrista_stillifera,000100000
Chamaecrista_strictifolia,010100000
Chamaecrista_strictula,010100000
Chamaecrista_setosa,010100000
Chamaecrista_supplex,111000000
Chamaecrista_swainsonii,001100000
Chamaecrista_tenuicaulis,010100000
Chamaecrista_tenuisepala,001000000
Chamaecrista_tephrosiifolia,010100000
Chamaecrista_tocantinensis,010000000
Chamaecrista_tragacanthoides,000100000
Chamaecrista_trichopoda,111010000
Chamaecrista_ulmea,000100000
Chamaecrista_unijuga,000010000
Chamaecrista_urophyllidia,010100000
Chamaecrista_ursina,010100000
Chamaecrista_ustulata,010100000
Chamaecrista_vauthieri,000100000
Chamaecrista_venatoria,010100000
Chamaecrista_venulosa,000100000
Chamaecrista_verruculosa,010000000
Chamaecrista_viscosa,111011001
Chamaecrista_wittei,000000001
Chamaecrista_xanthadena,000100000
Chamaecrista_xinguensis,100000000
Chamaecrista_zygophylloides,011100000
Cassia_ferruginea,011010000
Cassia_fistula,000000001
Cassia_grandis,100001000
Cassia_javanica,000000001
Cassia_leptophylla,000010000
Cassia_moschata,100000000
Cassia_brewsteri,000000001
Recordoxylon_speciosum,100000000
Melanoxylon_brauna,000010000
Senna_affinis,000010000
Senna_alata,100000000
Senna_armata,000000100
Senna_aymara,100000000
Senna_bauhinioides,000000100
Senna_bicapsularis,000001000
Senna_cana,011000000
Senna_candolleana,000000010
Senna_cearensis,001000000
Senna_corifolia,010100000
Senna_corymbosa,100000100
Senna_covesii,000000100
Senna_didymobotrya,000000001
Senna_gardneri,001000000
Senna_hirsuta,111011101
Senna_italica,000000001
Senna_kurtzii,000000010
Senna_mollissima,100001100
Senna_obliqua,100000000
Senna_obtusifolia,111011100
Senna_occidentalis,111011100
Senna_organensis,000010000
Senna_pallida,000001100
Senna_pendula,111011100
Senna_pleurocarpa,000000001
Senna_polyphylla,000001000
Senna_reniformis,011100000
Senna_rugosa,010000000
Senna_ruiziana,100000000
Senna_siamea,000000001
Senna_silvestris,110010000
Senna_spectabilis,111010000
Senna_surattensis,000000001
Senna_tora,000000001
Senna_trachypus,011000000
Senna_uniflora,111011100
Senna_wislizeni,000000100
Vouacapoua_pallidior,100000000
Vouacapoua_macropetala,100000000
Vouacapoua_americana,100000000
