reported_name,accepted_name,species_name
Chamaecrista_brevifolia_var_brevifolia,Chamaecrista_brevifolia_var_brevifolia,Chamaecrista_brevifolia
Chamaecrista_brevifolia_var_glabra,Chamaecrista_brevifolia_var_glabra,Chamaecrista_brevifolia
Chamaecrista_bucherae,Chamaecrista_bucherae,Chamaecrista_bucherae
Chamaecrista_burchellii,Chamaecrista_burchellii,Chamaecrista_burchellii
Chamaecrista_caespitosa,Chamaecrista_caespitosa,Chamaecrista_caespitosa
Chamaecrista_caiapo,Chamaecrista_caiapo,Chamaecrista_caiapo
Chamaecrista_calixtana,Chamaecrista_calixtana,Chamaecrista_calixtana
Chamaecrista_calycioides,Chamaecrista_calycioides,Chamaecrista_calycioides
Chamaecrista_calycioides_var_calycioides,Chamaecrista_calycioides_var_calycioides,Chamaecrista_calycioides
Chamaecrista_aristellata,Chamaecrista_calycioides_var_calycioides,Chamaecrista_calycioides
Chamaecrista_calycioides_var_lentiformis,Chamaecrista_calycioides_var_lentiformis,Chamaecrista_calycioides
Chamaecrista_campestris,Chamaecrista_campestris,Chamaecrista_campestris
Chamaecrista_campicola,Chamaecrista_campicola,Chamaecrista_campicola
Chamaecrista_capensis,Chamaecrista_capensis,Chamaecrista_capensis
Chamaecrista_capensis_var_capensis,Chamaecrista_capensis_var_capensis,Chamaecrista_capensis
Chamaecrista_burmanni,Chamaecrista_capensis_var_capensis,Chamaecrista_capensis
Chamaecrista_capensis_var_flavescens,Chamaecrista_capensis_var_flavescens,Chamaecrista_capensis
Chamaecrista_caracensis,Chamaecrista_caracensis,Chamaecrista_caracensis
Chamaecrista_cardiostegia,Chamaecrista_cardiostegia,Chamaecrista_cardiostegia
Chamaecrista_caribaea,Chamaecrista_caribaea,Chamaecrista_caribaea
Chamaecrista_caribaea_var_caribaea,Chamaecrista_caribaea_var_caribaea,Chamaecrista_caribaea
Chamaecrista_caribaea_var_inaguensis,Chamaecrista_caribaea_var_inaguensis,Chamaecrista_caribaea
Chamaecrista_inaguensis,Chamaecrista_caribaea_var_inaguensis,Chamaecrista_caribaea
Chamaecrista_tortuensis,Chamaecrista_caribaea_var_inaguensis,Chamaecrista_caribaea
Chamaecrista_caribaea_var_lucayana,Chamaecrista_caribaea_var_lucayana,Chamaecrista_caribaea
Chamaecrista_lucayana,Chamaecrista_caribaea_var_lucayana,Chamaecrista_caribaea
Chamaecrista_carobinha,Chamaecrista_carobinha,Chamaecrista_carobinha
Chamaecrista_caspariifolia,Chamaecrista_caspariifolia,Chamaecrista_caspariifolia
Chamaecrista_catapodia,Chamaecrista_catapodia,Chamaecrista_catapodia
Chamaecrista_cathartica,Chamaecrista_cathartica,Chamaecrista_cathartica
Chamaecrista_cathartica_var_cathartica,Chamaecrista_cathartica_var_cathartica,Chamaecrista_cathartica
Chamaecrista_cathartica_var_paucijuga,Chamaecrista_cathartica_var_paucijuga,Chamaecrista_cathartica
Chamaecrista_catharticoides,Chamaecrista_catharticoides,Chamaecrista_catharticoides
Chamaecrista_catiarae,Chamaecrista_catiarae,Chamaecrista_catiarae
Chamaecrista_catolesensis,Chamaecrista_catolesensis,Chamaecrista_catolesensis
Chamaecrista_cavalcantina,Chamaecrista_cavalcantina,Chamaecrista_cavalcantina
Chamaecrista_celiae,Chamaecrista_celiae,Chamaecrista_celiae
Chamaecrista_orbiculata_var_cercidifolia,Chamaecrista_cercidifolia,Chamaecrista_cercidifolia
Chamaecrista_chaetostegia,Chamaecrista_chaetostegia,Chamaecrista_chaetostegia
Chamaecrista_chamaecristoides,Chamaecrista_chamaecristoides,Chamaecrista_chamaecristoides
Chamaecrista_chamaecristoides_var_brandegeei,Chamaecrista_chamaecristoides_var_brandegeei,Chamaecrista_chamaecristoides
Chamaecrista_brandegeei,Chamaecrista_chamaecristoides_var_brandegeei,Chamaecrista_chamaecristoides
