species,height_m,media_lma,sd_lma,carbon_nitrogen,nitrogen_leaf,xylopodium,leaf_area,leaf_mass,bio17_mean,bio17_sd,bio18_mean,bio18_sd,fire_mean,fire_sd,nitro_mean,nitro_sd,Amazon,Cerrado,Caatinga,CampoRupestre,AtlanticForest,CentralAmerica,NorthAmerica,ExtraAmerica,elevation_m,geographic_range,nearby_life_history,nearby_phy_distance,target
Chamaecrista_fasciculata,0.5,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,953.5,2525.539339,annual,5.11815,annual
Chamaecrista_flexuosa,0.5,81.82818285,16.58662994,22.45854499,0.023825,present,4953,0.04365,78984,4.049533916,371,7.857443276,0.02716,0.002534228,163.6474683,2.15835256,0,0,0,0,0,0,1,0,507,1615.326871,late_perennial,29.88352,late_perennial
Chamaecrista_glandulosa,2.0,59.82078802,12.97539638,11.73508757,0.040375,absent,10288,57,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,699,3314.406786,annual,2.0002,NA
Chamaecrista_gonoclada,0.5,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,487,1.367817251,late_perennial,13.15628,NA
Chamaecrista_grantii,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1047,102.9536576,annual,11.93555,annual
Chamaecrista_greggii,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1184,14.7470022,late_perennial,29.00192,NA
Chamaecrista_kirkii,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,696,905.4777415,annual,3.10886,NA
Chamaecrista_kleinii,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,947,0,annual,13.63108,NA
Chamaecrista_kunthiana,0.3,53.70864421,14.45607167,15.00386767,0.030125,absent,1138,0.0062,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,510.5,936.8560223,annual,26.64338,annual
Chamaecrista_lagotois,2.0,232.5398085,13.0996901,33.84885075,0.015425,present,13232,0.31965,27428,0.664159505,616622,8.678826781,0.12852,0.007206406,166.5974683,1.562884838,0,1,0,0,0,0,0,0,921,0.142274566,late_perennial,9.92931,late_perennial
Chamaecrista_latifolia,1.0,178.5547043,87.23264216,31.40985488,0.01675,present,17322,0.3375,45886,0.974990883,654156,3.096556904,0.04192,0.002423132,203.6054683,2.106903661,0,0,0,1,0,0,0,0,1278.5,6.484592345,late_perennial,4.24244,NA
Chamaecrista_latistipula,3.3,50.65707539,2.734976416,21.40605162,0.025625,absent,15.3665,0.07905,88384,4.466204547,459578,6.430002932,0.01462,0.001433954,193.8774683,4.03142513,0,0,0,1,0,0,0,0,847,348.01982,early_perennial,2.29649,early_perennial
Chamaecrista_leptadenia,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1156,91.89409184,annual,9.22292,annual
Chamaecrista_lineata,2.0,105.2315093,NA,33.07083809,0.0148,absent,3326,35,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,38.5,78.00465992,annual,5.09662,NA
Chamaecrista_mimosoides,1.5,72.49660172,NA,10.90982871,0.04185,absent,2207,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,201,430.4114072,annual,11.0349,annual
Chamaecrista_mucronata,1.6,127.2942736,38.34992365,39.18059239,0.013825,present,7.6425,95,87114,2.852317204,639.88,8.677328348,0.03372,0.002886831,254.9954683,3.579996288,0,0,0,1,1,0,0,0,1015.5,139.9950245,late_perennial,12.2588,NA
Chamaecrista_multinervia,1.0,108.2055906,NA,31.00825496,0.01695,present,3327,36,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,841,0.9494204426,late_perennial,2.65498,NA
Chamaecrista_nictitans,0.9,59.56021727,21.23691717,17.85140973,0.027875,absent,7.2905,0.0368,41856,1.994288068,431708,6.78366462,0.03068,0.002115852,144.0394683,1.246875772,0,0,0,0,0,0,0,1,518,3666.268978,annual,9.77817,annual
Chamaecrista_nigricans,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,182.5,0,annual,6.38003,annual
Chamaecrista_olesiphylla,1.2,152.962771,27.73478227,52.50845402,0.010575,present,9156,0.1486,36352,0.817430472,607932,3.458715973,0.03802,0.002322789,188.3814683,1.617743526,0,0,0,1,0,0,0,0,1152,4.59627959,late_perennial,12.67438,NA
Chamaecrista_oligandra,NA,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1282,0,late_perennial,20.5982,NA
Chamaecrista_parvistipula,0.4,85.65796378,21.28262037,36.2948652,0.015425,present,4107,0.0405,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,719,208.0548906,late_perennial,16.85449,NA
Chamaecrista_pascuorum,0.5,107.3498131,27.64035791,22.68136387,0.021375,absent,2457,0.02125,50566,2.786761448,281838,5.578523762,0.00948,0.001142484,155.4414683,2.317246952,0,1,0,0,0,0,0,0,485,136.4670241,annual,14.93539,NA
Chamaecrista_pilosa,0.9,24.52198209,3.950985245,11.08229783,0.04245,absent,3.3295,9,34.53,1.924282705,205.04,6.198223031,0.02006,0.001712266,135.8414683,1.607617067,0,1,1,0,1,0,0,0,312,686.289106,annual,13.44154,annual
Chamaecrista_potentilla,2.0,105.9190607,17.6605992,33.6930987,0.017525,present,2.1805,0.0268,40.38,0.868259725,619.87,5.658064474,0.05694,0.003753859,174.4954683,1.305008339,0,0,0,1,0,0,0,0,1115,4.632129317,late_perennial,14.5171,late_perennial
Chamaecrista_pumila,0.3,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,166,1343.352243,annual,11.93555,annual
Chamaecrista_ramosa,2.5,87.25593978,7.526439055,24.01176499,0.0205,absent,495,0.0044,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,651.5,1695.962375,early_perennial,2.29649,early_perennial
Chamaecrista_repens,1.0,102.8442928,21.68636264,13.95881699,0.034925,present,7598,0.06275,53962,2.56630258,267.41,5.29333265,0.01258,0.001297403,153.9374683,2.018356392,1,1,1,0,1,0,0,0,598,301.8295573,annual,16.15051,NA
Chamaecrista_roraimae,3.5,104.5695941,27.85549749,20.42269278,0.02545,absent,10935,0.09395,51.51,3.612244235,331844,4.513517365,0.01308,0.001306768,150.7754683,1.808216305,1,0,1,0,0,0,0,0,824,198.6522424,annual,25.82835,late_perennial
